suite,task_id,task_name,language,init_state_id,radius,radius_meters,trials,valid_rate,success_rate,mean_reward,num_free_object_joints,error
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,0.0,0.0,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,0.25,0.02,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,0.5,0.04,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,0.75,0.06,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,1.0,0.08,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,0.0,0.0,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,0.25,0.02,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,0.5,0.04,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,0.75,0.06,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,1.0,0.08,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,0.0,0.0,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,0.25,0.02,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,0.5,0.04,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,0.75,0.06,4,1.0,0.0,0.0,4,
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,1.0,0.08,4,1.0,0.0,0.0,4,
libero_goal,1,put_the_bowl_on_the_stove,put the bowl on the stove,0,0.0,0.0,4,1.0,0.0,0.0,4,
libero_goal,1,put_the_bowl_on_the_stove,put the bowl on the stove,0,0.25,0.02,4,1.0,0.0,0.0,4,
libero_goal,1,put_the_bowl_on_the_stove,put the bowl on the stove,0,0.5,0.04,4,1.0,0.0,0.0,4,
libero_goal,1,put_the_bowl_on_the_stove,put the bowl on the stove,0,0.75,0.06,4,1.0,0.0,0.0,4,
libero_goal,1,put_the_bowl_on_the_stove,put the bowl on the stove,0,1.0,0.08,4,1.0,0.0,0.0,4,
