family,state_id,clean,rauc,r80,r50,num_radii
blur,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=0:init=0,1.0,0.8,0.6799999999999999,0.8,3
blur,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=1:init=1,1.0,0.3,0.11999999999999997,0.3,3
blur,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=2:init=2,1.0,0.3,0.11999999999999997,0.3,3
blur,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=0:init=0,1.0,0.3,0.11999999999999997,0.3,3
blur,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=1:init=1,1.0,0.3,0.11999999999999997,0.3,3
blur,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=2:init=2,1.0,0.3,0.11999999999999997,0.3,3
blur,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=0:init=0,1.0,0.8,0.6799999999999999,0.8,3
blur,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=1:init=1,1.0,0.8,0.6799999999999999,0.8,3
blur,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=2:init=2,1.0,0.3,0.11999999999999997,0.3,3
brightness,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=0:init=0,1.0,1.0,1.0,1.0,3
brightness,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=1:init=1,1.0,1.0,1.0,1.0,3
brightness,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=2:init=2,1.0,0.8,0.68,0.8,3
brightness,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=0:init=0,1.0,0.30000000000000004,0.12,0.30000000000000004,3
brightness,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=1:init=1,1.0,0.30000000000000004,0.12,0.30000000000000004,3
brightness,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=2:init=2,1.0,0.8,0.68,0.8,3
brightness,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=0:init=0,1.0,1.0,1.0,1.0,3
brightness,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=1:init=1,1.0,1.0,1.0,1.0,3
brightness,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=2:init=2,1.0,1.0,1.0,1.0,3
occlusion,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=0:init=0,1.0,0.2,0.07999999999999999,0.2,4
occlusion,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=1:init=1,1.0,0.55,0.45999999999999996,0.55,4
occlusion,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=2:init=2,1.0,0.2,0.07999999999999999,0.2,4
occlusion,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=0:init=0,1.0,0.2,0.07999999999999999,0.2,4
occlusion,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=1:init=1,1.0,0.2,0.07999999999999999,0.2,4
occlusion,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=2:init=2,1.0,0.2,0.07999999999999999,0.2,4
occlusion,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=0:init=0,1.0,0.55,0.45999999999999996,0.55,4
occlusion,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=1:init=1,1.0,0.55,0.45999999999999996,0.55,4
occlusion,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=2:init=2,1.0,0.85,0.76,0.85,4
shift,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=0:init=0,1.0,0.26666666666666666,0.10666666666666665,0.26666666666666666,3
shift,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=1:init=1,1.0,0.7666666666666666,0.6266666666666666,0.7666666666666666,3
shift,object:0:pick_up_the_alphabet_soup_and_place_it_in_the_basket:episode=2:init=2,1.0,0.26666666666666666,0.10666666666666665,0.26666666666666666,3
shift,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=0:init=0,1.0,0.26666666666666666,0.10666666666666665,0.26666666666666666,3
shift,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=1:init=1,1.0,0.26666666666666666,0.10666666666666665,0.26666666666666666,3
shift,object:1:pick_up_the_cream_cheese_and_place_it_in_the_basket:episode=2:init=2,1.0,0.26666666666666666,0.10666666666666665,0.26666666666666666,3
shift,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=0:init=0,1.0,1.0,1.0,1.0,3
shift,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=1:init=1,1.0,0.7666666666666666,0.6266666666666666,0.7666666666666666,3
shift,object:4:pick_up_the_ketchup_and_place_it_in_the_basket:episode=2:init=2,1.0,0.7666666666666666,0.6266666666666666,0.7666666666666666,3
