method,run,source_artifact,candidate_index,name,spec,perturbation_type,perturbation_params,observed_cf_rate,predicted_cf_rate,observed_cf_failures,observed_episodes,observed_success_rate,boundary_abs_distance,boundary_score,in_boundary_band,training_role
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,0,prop_s002_blur,prop_s002_blur:blur:1.667,blur,"{""radius"": 1.667}",0.5,1.0,2,4,0.5,0.0,1.0,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,1,prop_s016_blur,prop_s016_blur:blur:2.037,blur,"{""radius"": 2.037}",1.0,1.0,4,4,0.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,2,prop_s025_bright,prop_s025_bright:brightness:0.794,brightness,"{""factor"": 0.794}",0.5,0.5,2,4,0.5,0.0,1.0,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,3,prop_s004_bright,prop_s004_bright:brightness:0.778,brightness,"{""factor"": 0.778}",0.25,0.5,1,4,0.75,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,4,prop_s044_occ,prop_s044_occ:occlusion:0.320,occlusion,"{""fraction"": 0.32}",1.0,1.0,4,4,0.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,5,prop_s036_occ,prop_s036_occ:occlusion:0.343,occlusion,"{""fraction"": 0.343}",1.0,1.0,4,4,0.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,6,prop_s047_shift,prop_s047_shift:shift:-0.175:-0.013,shift,"{""dx_fraction"": -0.175, ""dy_fraction"": -0.013}",1.0,1.0,4,4,0.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed1_lp2_h160,7,prop_s042_shift,prop_s042_shift:shift:0.134:-0.038,shift,"{""dx_fraction"": 0.134, ""dy_fraction"": -0.038}",0.5,1.0,2,4,0.5,0.0,1.0,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,0,prop_s030_blur,prop_s030_blur:blur:1.651,blur,"{""radius"": 1.651}",0.5,1.0,2,4,0.5,0.0,1.0,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,1,prop_s050_blur,prop_s050_blur:blur:1.704,blur,"{""radius"": 1.704}",1.0,1.0,4,4,0.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,2,prop_s018_bright,prop_s018_bright:brightness:0.790,brightness,"{""factor"": 0.79}",0.0,0.5,0,4,1.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,3,prop_s023_bright,prop_s023_bright:brightness:0.779,brightness,"{""factor"": 0.779}",0.0,0.5,0,4,1.0,0.5,0.0,False,coverage_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,4,prop_s044_occ,prop_s044_occ:occlusion:0.389,occlusion,"{""fraction"": 0.389}",0.75,1.0,3,4,0.25,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,5,prop_s052_occ,prop_s052_occ:occlusion:0.420,occlusion,"{""fraction"": 0.42}",0.75,1.0,3,4,0.25,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,6,prop_s016_shift,prop_s016_shift:shift:-0.100:-0.061,shift,"{""dx_fraction"": -0.1, ""dy_fraction"": -0.061}",0.75,1.0,3,4,0.25,0.25,0.5,True,boundary_candidate
bgr_boundary,libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,/work/joy/dreamaudit_jobs/artifacts/libero_openvla_observation_proposal_balanced_expfit_seed2_lp2_h160,7,prop_s012_shift,prop_s012_shift:shift:-0.038:0.099,shift,"{""dx_fraction"": -0.038, ""dy_fraction"": 0.099}",0.25,1.0,1,4,0.75,0.25,0.5,True,boundary_candidate
